index,score,comment_text,class
74,0,"Ah, so part of the """"back end"""" and """"algorithms"""" - automatic comment rejection if you don't vote on the 3 random comments in a way that is conforming enough to the way other users vote - or if you vote too fast, as I assumed many would do - just clicking a random button too quickly means that you're unwilling to """"participate"""" - you just want to """"comment"""" which doesn't ensure a """"civil"""" community of commenters :  Screen grab from a rejected comment : i5guy 3 hours ago Rejected Personally, I already don’t have the time or energy to actually read the stuff they ask me to vote on. I’ll just randomly click on yes sorta or no to make the buttons go away.  Problems were detected in the ratings you left for your peers.
",0
80,0,"I thought Willamette week was better than this. Using weasel  wording  and referring  to a vanity fair hit piece to spread a misinformed  view what furriers are. We all do not obsessed about and or dress up. Only 10% 15% furs   dress up in costume; you find a great ratio of costumers (cosplay) at Kumoricon and New Con than a fur con.  We fur have many different and dare say family  friendly  safe for work interest including art, role  play and  literature. In fact looking  at the Loyd center piece, the pictures could been take around January 2-3. We had a furry meet up  Loyd's Center and the """"reporter"""" could had easily missed us.
",0
89,0.166666667,"I saw @christa_m mention this a little below, but I'm curious how the system combats the echo chamber effect, especially on contentious issues?  I can imagine many stories where opinions which run against the (Portland) mainstream are viewed as inherently uncivil, such as supporting Trump's position on...well pretty much anyone that isn't white, or say supporting the Kleins in the Sweet Cakes by Melissa saga.  How do you convince people that an opinion which is to some degree derived from some form of prejudice is still """"civil"""" and deserving of at least being heard?
",0
94,0.166666667,"Nice. :) Although it's a shame the resolution on the files make some of the lettering tough to read. I'm not sure what the last word in the lower right strip is. I like the design of the 2000s guy in the third strip. That's a guy who grew up watching Kevin Smith movies.
",0
96,0,"Hi David, we did consider all of these possibilities when building our system! In fact, we assume people will try to game it; that's why we have a lot going on behind the scenes algorithmically. The commenter-facing part of the app is very straightforward, but there are a lot of checks and balances on the backend to prevent coordinated attacks and also to keep comments sections from becoming echo chambers. Banning insulting words isn't enough, unfortunately; people will always be smarter than word filters, even if the algorithm tries to take context into account. We do have a backup algorithm for low-volume situations that basically does this (plus a few other things), but it's not as effective as human reviewers.  I hear you on the """"more replies"""" button; I don't think we'll remove it entirely, but I agree it's appearing too often, after too few comments. We'll be pushing updates very soon!
",0
102,0,"I can't believe I didn't hear about her show until now! Paula's written material is great, but improv is where she really shines. Seeing her live is the BEST. But, how is a cat cafe """"weird"""" to her, when she owns 15 cats? C'mon, Paula! That place was made for you. ＼(・ω・)/
",0
103,0,"I'd just ask how she intends to explain to minimum wage workers in rural Oregon that they are worth less than people in Portland? Just like Measure 91  Democratic supporters in rural Oregon have less reason every day to support these Democrats.  Voting Green this year.
",0
109,0,"I'm not sure I see it the same way.  The minimum wage was designed to be a living wage; a living wage in Portland is substantially higher than it is in, say, John Day or even Bend.  I think this could be characterized as understanding that businesses in rural Oregon shouldn't have to pay their employees enough to live in Portland when, in fact, they don't.
",0
118,0,"What are the incidents of disrespect shown to Native Americans. When and where did they occur. What was said or not said (body language) to the disrespected party?
",0
121,0,"I'm happy to learn more about your history.  I respect the work you mention above. If you do run for city council I'd love to read more information like what you've posted here. The shop has always been a highlight of Portland for me and you yourself have always been very kind and supportive of me and my work. Thank you for that. Best of luck with whatever you decide.
",0
123,0.7,"Took this as an opportunity to check back in on The Yard and the floorpans are finally up and they are ATROCIOUS.  Yeah, because I want to spend 2500+ to share a thin wall with my roommate.  Oh, and I want to pick between a dining table OR living room set, because in this modern world you can't have both.  And if you do want both, one is going to be in a tiny spot by your door and the other is going to be down a long hallway of useless square ft next to your kitchenette.  So dumb. http://yardpdx.com/leasing/
",1
130,0,"Poverty doesn't make people more skilled in the arts.  Why should low income students have priority?  Also before other commenters jump the gun; I believe everyone should absolutely have access to free public education all the way through postgrad.
",0
151,0,"The foster care system has been broken for more than 40 yrs.  It is not that the caseworkers don't care but they are overwhelmed by a system that is driven by the Title IV-e funding.  If the use of the Differential Response Module were used and the attempt to preserve the family less foster beds would be needed and fewer children would be traumatized by a radical removal from not only their homes but everything they know if their lives.  If you don't believe what I say just listen to Molly McGrath Tierney is the Director for the Baltimore City Department of Social Services @ https://www.youtube.com/watch?v=c15hy8dXSps
",0
168,0,"Good question, Jackie! How do these yokels make their money? Well, LaVoy Finicum just had his foster children taken from his ranch, likely as a result of him becoming a militant criminal likely to face a suite of federal felony charges. Some reports and tax filings from his home state suggest Finicum was receiving, some years, $100,000 from Catholic Charities to provide foster care. While - according to his statements to the media - his cows barely pay for ranch expenses, the money from the kids could presumably pay for his lifestyle (surely other state money also helped). Was he getting free labor from boys who could work with him on his ranch? Perhaps, but all we know is that with the loss of his foster kids, Finicum is sad to be losing his monetary income, and says he may have to go back to eating rice and beans now that he's not getting paid thousands a week to house, feed, and provide ample ranch work for foster kids.
",0
169,0,"Am I missing something, because there's nothing about the """"free-range, organic, cruelty-free"""" section that appeared to be joking, or have any self-deprecating self-awareness, which is what this whole deal hinges on. Are there any commenters who are going to call the supervisor on this obvious distortion?  I think this email-leaking parent did exactly the right thing. If a teacher has been assigning something like this for 20 years, there's no point in """"confronting her directly"""". If her supervisor comes up with the line that defends her free-range, earth-friendly snobbery was """"a joke"""", there's no reason to talk to anyone at the school about this assignment (clearly the entire administration sees the mind-numbing cognitive dissonance in labeling a cake full of sugar """"earth friendly"""" and """"cruelty free""""). Leak it to the WW, and see what happens: Lo and behold, suddenly the creativity-loving food snob changes her tune.  There's nothing wrong with advocating for creativity (though I personally am skeptical of elementary school creativity proselytizers). There's absolutely nothing wrong with using and advocating """"earth friendly"""" and """"human healthy"""" ingredients.  But a middle school teacher - even one who lives in Portland - has no credentials to know what these ingredients are, and no right to push parents of her students to make financial lifestyle decisions based on the teacher's personal moral stance on branding and labeling of chicken and wheat products. In any case, she's recommending they make cakes out of cookie or brownie or cake batters. The number 1 or 2 ingredient is going to be some form of sugar, which is probably the worst thing you could eat, health-wise, and """"plantation-consciousness""""-wise, anyway.
",0
171,0,"Well I have said it before but I will say it again, the longer this goes the greater evidence of a false flag with the FBI's participation.  It seems more than probable given the FBI's penchant for placing provocateurs among targeted groups, that this Bundy thing has a script that goes all the way to back to Washington DC.  Note how the FBI seems to think that the media and locals of Burns are the problem not the """"occupation"""".  And it is a little unclear why the state police are not taking action and what about the Burns police department?  Ultimately the goal appears to be to create artificial conflicts among different citizens so that united beneficial cooperation is off the table in favor of violence and greater federal control.
",0
172,0.2,"What is the foundation of the Harney County protest  U.S. Constitution Article 1, Section 8, Paragraph 17  To exercise exclusive Legislation in all Cases whatsoever, over such District (not exceeding ten Miles square) as may, by Cession of particular States, and the Acceptance of Congress, become the Seat of the Government of the United States, and to exercise like Authority over all Places purchased by the Consent of the Legislature of the State in which the Same shall be, for the Erection of Forts, Magazines, Arsenals, dock-Yards, and other needful Buildings;  KrisAnns Hall gives the Constitutional argument  https://youtu.be/T424sWq1SkE
",0
177,0,"jsilver, it depends on which cities you're comparing, but Portland has the highest cost of living in the state. But, let's use Medford as an example. Portland's cost of living overall is about 18% higher than Medford's. The cost of housing is the biggest factor there—it's 56% higher in Portland than in Medford!
",0
178,0,"The """"rural"""" label is entirely beside the point.  Most of Oregon outside Portland is, in fact, rural but a few places aren't; the important point isn't whether that label applies but whether the cost of living is at all similar to the cost of living in Portland.
",0
180,0.3,"defending genocide is really racist. anyway, your analogy is a poor analogy. north america is not analogous to a private residence. but, your typical of comments frequently used by the reverse racists. And, particularly people who seek to immigrant to the USA, illegally. they often know nothing of american history, except for propaganda that justifies their personal agenda
",0
182,0.166666667,"If you look up the statistics on """"maltreatment of children in foster care"""" you'll see that no state has more than 1 or 2 total for the year. The reason is that the federal evaluations come down hard on agencies who have more than that. So, anytime they receive a complaint of abuse, they either ignore it or investigate and find no substantiation. You bet the agency serves its best interests and not the interests of the children. PDX Grandma is right. The state takes far too many children into custody and for frivolous reasons to get the federal funding that keeps the agency existence justified. Nothing is going to change until the public gets invovled, starts asking questions of their legislators and to find out what their tax dollars is really supporting.
",0
185,0,"Should they have to?  Christians, whether as a whole, or split by denomination would never submit to such a requirement. If a religion, any religion, had to offer an apology, or disclaimer, every time a criminal invoked their god they would never have time for anything else.  Now that I say it, perhaps that would be a good thing after all.
",0
191,0.3,"Thank you for this article, all I need to know not to vote for her.   While I agree we could use some more diverse voices running for mayor and I even liked some of her background as a potential candidate; what we don't need is someone who derisively lumps all middle aged white guys together. Sorry but change that wording (and from someone else) to """"another middle aged white woman"""" and the candidate would get hammered for sexism, ageism, etc... Might have been a snarky comment for humor, and that is what i want for a mayor...someone snarky.
",0
193,0,"I think that the sentiment from that post, made months ago, echoes a general dissatisfaction with the heterogeneous executive leadership that Portland has seen for so long. I think a new voice that reflects the dissatisfaction of those of us that don't feel represented by our government, would be more than welcome.
",0
195,0,"Iannarone is an interesting candidate to me; her perspective is clearly different from that of Wheeler or Bailey, and her guiding principles being livability and quality of life are aligned with mine.  That's a respectable, non-ideological stance that's perfectly compatible with where I'd like to see the city go.  No one has my vote yet, but I'm listening once she makes her formal announcement.
",0
197,0,"Read the whole article.... nowhere does it mention Vera Katz...... woman mayor of portland.....  This article says this sarah lady would be first  Vera used to sign up with me when i was a kid doing run for the arts program and my grandma worked at city hall.
",0
198,0,"Do not so readily suppose that people coming out of PSU are into sustainability, any more than people coming out of Metro. There is a lot of parrot-thinking going on in those chambers, supporting growth as usual dressed as sustainability.  What originated in the 60s and 70s as an in-depth, holistic approach to bringing our human populations and consumption down to within the carrying capacity of the local bioregion, through relocalizing our commerce — and thereby achieving prosperity, more greenspaces, and better quality of life for all — has been corrupted into  a machination for the haves to have more and the have-nots to get less, and for our neighborhoods to grow more overcrowded and more separated from nature.  What originated as a bottom-up process has become a top-down process aided by the ivory tower views of academics and politicos, all congratulating each other on their progressive idealism even as we slide further into unsustainable existence ruled by non-local and elite capitalists.
",0
200,0.2,"To meet these people with threats of violence and/or humiliation, or anything other than personal dignity is playing right into their hand or opening """"this side"""" up to opposition, and adding energy to their game. I agree in shutting off power and phone, jamming wi-if and blocking any access into the area. You didn't plan well and forgot necessities? Tough. What happens when you go camping and forgot to pack whatever? You go without, borrow from your mates, (if they're willing to share) or cut the trip short. Y'all got yourselves into this jam, don't be expecting for those you are flipping off to be accomadating. As a sign in a supply house said, """"Poor planning on your part, does not constitute an emergency on ours"""". Read 'em and weep, girls. Oh, and I'd say, last one out, turn down the heat and turn off the lights, but if it were up to me, you wouldn't have to worry about it
",0
204,0,"That's kind of my point, I guess: someone posting racially-charged comments like that on their Twitter doesn't strike me as likely to unite people. Rather the opposite, in fact. Again, her professional credentials are impeccable (an actual urban planning and design pro as mayor? Awesome.),  and there's no arguing against the need for significant change in our city government. These racial comments simply don't give me confidence in Ms. Iannarone.
",0
205,0,"A-- Breach of Contract!   the refuge was the ONLY reason I voted for that bond -- does Metro think they will ever have credibility with anyone again? B-- Given the lengths Metro  has gone to (and gobs of money already spent) to force the public  subsidy of a privately owned hotel on the rest of us -- we can conclude just where their priorities lie.   We underwrite comfy beds for travelers and consign captive animals to lives of misery.  Sign me up for a popular revolt against the ongoing mess that is Metro.
",0
207,0.166666667,"This is literally the benefit of legalization. What was once a lawless and unscrupulous industry now must meet regulation and code.  If you have an actual, honest grievance and can prove it you can go to a court to get it settled instead of taking it out with guns or threats.
",0
208,0,"Agreed; this is really disappointing. You'd think they'd be legally bound to follow through on a voter-passed bond measure. How will it be decided what that money will be used for now (unless, like you suggest, it's already been spent)?
",0
211,0,"Hi Jeff, you bring up interesting points.  """"$589 , great deal ! I paid that much 20 years ago for mine , haven’t shot anyone since then either !""""  So what I hear you saying is that you bought something 20 years ago that you have yet to use (and avoid its use) for its intended purpose, and moreover, it has failed to appreciate in value.  I am forced to question your investment choices.  Can you explain what value you see?  """"[T]here is no mechanical difference between the scary black guns and any other Semiauto rifles made in the last 100 years .""""  The Picatinny Rail dates to the early 1980s.  If it offers no mechanical advantage, why are they so popular?  The AK47 was also hands-down better than the StG 44, the first modern assault rifle (Sturmgewehr literally means """"assault rifle"""").  It was better for mechanical reasons.  I frequently ponder, if there is no inherent advantage, why is there such a desire to preserve the public market for assault rifles?  Could you elaborate on that?
",0
214,0,"Look Walker, is it collards or mustard greens? Or a combination? I need to know!
",0
219,0,"Climate justice activists have repeatedly told Novick that they will support density proposals if adequate protections exist for the working class and the poor, otherwise we'll just build a wonderful green city that only the rich can afford to live in. He keeps getting stuck on this point like a broken record without actually listening to what people are repeatedly communicating to him.  Solid electoral strategy.
",0
220,0.166666667,"Gosh, what happened to Novick?  He seems to have lost some intellectual acuity.  Now he is a close-minded pro-density anti-car fetishist.  It's dumb to deny climate science, but the importance of stacking everyone in apartments can be debated.   The biggest contributors to global warming are agriculture, sheep and dirty utility plants.  In fact, there are studies suggesting that a big dog has a big carbon footprint, but you wouldn't hear Novisk risk angering dogowners.  BTW- I note that the most strident anti-car types still fly, and that we have tech bros working in the Bay Area and living part time here.  Let's have a discussion of what jets do to the environment- but that would be shared sacrifice.  I am voting for that Emmons guy.  He seems okay and Novick is the pits.
",0
222,0,"Whatever happened to loyalty to a set of principles that define the Democratic Party?  They are still there.  The Democratic Party is the only party that can move this country forward.
",0
227,0.2,"The site of her org at PSU gives the impression that she has completed her doctoral program but this article says she is still working on it. What are the facts? Also, $63,629 in salary and benefits for a part time job is pretty rich and that is quoted from 2013. Can only imagine that she given herself  two or three raises since then. Portland is brimming with faux do-gooders who mostly benefit themselves. Here's another one.
",0
228,0.5,"On its face, Glueck's claim that AG Rosenblum needed a stronger settlement for her re-election is pretty silly.  She currently has no opponent, and  the Republicans have not fielded a primary candidate for AG in two election cycles.
",1
230,0,"Nigel - Major problem with your article. You assume that Democrats know how to lie.
",0
232,0,"I'm sorry to hear this Carl. I thought you and Thom were thick as thieves. And I can't imagine what he could have said or done for you to lump him in with the more beligerant Bernie fans. I mean, after all, he doesn't allow folks to badmouth Hillary on his show, and daily....maybe even hourly....states emphatically that he will support her if she gets the nod in the primaries, and work hard to get her elected.  But politics is your passion, man....take some time off, if you need, and come back, ok?
",0
233,0,"Here's a link to the actual ballot measure that was voted on. No mention anywhere of an elephant reserve  https://multco.us/elections/november-4-2008-measure-no-26-96
",0
234,0,"This comment system is so crappy you can't cut and paste a reasonable sized document, so here goes in multiple posts the actual ballot measure as voted on.  Nowhere will you find an elephant reserve listed. There is no breach of contracts  QUESTION: Shall Zoo protect animal health and safety; conserve, recycle water; issue $125 million in general obligation bonds; require independent audits?  If the bonds are approved, they will be payable from taxes on property or property ownership that are not subject to the limits of Sections 11 and 11b, Article XI of the Oregon Constitution.  SUMMARY: Measure will: Provide more humane care for animals: update four outdated and undersized enclosures with larger, more natural and safer spaces  Protect animal health and safety: modernize Zoo's substandard 45 year old animal clinic determined deficient by the American Zoo Association.
",0
238,0,"I wasn't living in Portland in 2008, but have seen the taped statement of Metro councilmember Collette assuring an audience, prior to the vote, that an off-site preserve for the elephants would definitely be included in the zoo bond. Metro and the zoo are continuing to treat these animals as a commodity and profit generator.
",0
239,0,"Part 5 of ballot measure  Save Water, Reduce Water Pollution, Improve Water Quality Since most of the zoo's pipes, plumbing and irrigation systems also date back to the 1950s and '60s, many are outdated, leaking and well past their useful lives. The most expensive utility cost at the 55-acre zoo is water, and leaking pipes, run-off, inadequate filtration systems, and lack of water storage all contribute to wasting water and increasing costs. Replacing the sewer system and separating sewage from storm water will reduce pollution, improve water quality and save costs. Adding modern water filtration and recycling systems to the hippo and penguin pools will save over 11,000,000 gallons of water every year.  That's all the relevant parts of the ballot measure. No mention of an elephant reserve. That's what was voted on.  Too bad WWEEK couldn't provide some level of in depth reporting, instead resorting to click bait.
",0
240,0,"""""Brewers love weed. I didn't know that before legalization...""""  Really?  Admitting as much illustrates how out of touch with """"the beer scene"""" you claim to spend a lot of time around.  This is something that is neither new or novel (although for the reasons you outlined above has never been made with weed, and only hemp)""""  http://nation.time.com/2013/11/21/with-legal-weed-comes-hemp-beer/
",0
243,0,"Actually, my lawsuit isn't so much about the Maurers not growing pot, but rather their breaches of contract, fiduciary duties, unlawful conversions, defamation - libel & slander, and fraud & misrepresentation. With that said, I am anxious to get the court's ruling. I doubt the Maurers are waiting for that day!
",0
244,0.3,"They talked about a reserve repeatedly and the Humane Society endorsement in the voter pamphlet refers to it specifically because that is how metro sold it. This is a bait and switch where they left it out when it got to the end of the campaign because nobody actually reads the actual legalese of the measure. This is total fraud.
",0
246,0,"Nick - I would be delighted if climate activists were showing up to argue for both density and housing affordability. Instead, they are mostly not showing up to the comprehensive plan hearings at all. Density, as Angus Duncan of the state climate change commission points out, is key to climate policy. If 7,00 people live within walking distance of each other, a grocery store will spring up to serve them that they can walk to, rather than drive. Density is critical to the viability of transit; the reason the New York subway system is economically viable is that there are a lot of people per stop. I think it's important for people who care about the climate to explain that to their fellow citizens. As to gentrification, cause gentrification; what causes gentrification is rich people moving here. If we built zero new housing, the rich people moving in would still drive up the price of the existing housing.
",0
247,0,"I moved from reefer-mad Minnesota to Portland, OR because it was no longer a black/gray market here. Thanks to people like Anthony Johnson, Amy Margolis, Russ Belville, Madeline Martinez, the founding members of The Weed Blog, (and because I am so new to the area, I regret that I am not able to name the many other activists that deserve recognition for their efforts and perseverance to """"legalize it"""" in Oregon.) Unfortunately, judging by the facts that a court of law will determine valid or not, I put my full faith and trust in some people that, I now allege, had hidden, false motives and intentions for their personal gain.
",0
248,0,"Predatory patrol towing isn't a big subject, and there is no advocacy group that is paying any attention to it, but the City of Portland has completely backed off of enforcing state law where the towing predators are operating on private property, and this is Commissioner Novick's failure. He's in charge of towing.  The City has allowed Retriever Towing to operate in open violation of ADA for years at their NW Quimby lot, and there is absolutely no provision in city ordinance that takes into account when they tow a mobility-disabled person's vehicle.  Wheelchair or no wheelchair, the person has to get themselves to the tow yard (which does not have wheelchair access).  Led by Senator Avel Gordly, the legislature enacted important new citizen protections against predatory towing effective January 1, 2008, but there is no effective way for Portlanders to learn what their rights are other than what the predatory towers themselves tell you. A description of the protections has never appeared on the City website. The version posted there has never been correct.  It is only in the past two years the the City began enforcing the signage requirements, and the City Towing Coordinator worked with the towers to pass the costs onto the citizens. $ 20 of every tow bill goes to the towers to """"compensate"""" them for their signs, with no upper limit, and your $ 20 is likely to be paying for signs completely unrelated to the place your vehicle was towed from.  Portland towers are allowed to operate in open violation of state law and the City's own statutes, providing towing services to property owners for free. That is specifically prohibited by state law and City ordinance.  Senator Gordly's legislation was intended to protect people living in apartment complexes, generally low-income, minority populations, and they have no one standing up for them in City Hall. I hope you are that champion.
",0
249,0,"An elephant in a zoo is an animal exhibition in a sterile, unnatural environment. Artificial breeding is not natural. It is a tortuous procedure as tubes for insemination are forced up the female's reproductive tract. Elephants in zoos are prone to TB, hepatitis, joint and foot problems, and early deaths, not to mention boredom and depression of constricted movement. In contrast, larger tracts of land in sanctuary allow elephants a more natural life.  It's a holistic approach to what the elephants need.  They are more apt to flourish and show off their gentle and playful personalities.  Visitors see an elephant more similar to those in the wild.  In sanctuary, it's a win-win for elephants and patrons alike! I have seen zoo elephants, and wild elephants in Africa.  It's disappointing that Metro is backing out of the reserve.
",0
251,0.3,"I sure do hope Carl changes his mind. He's a great radio talk show host. I always liked him and Thom in the mornings on KPOJ. And Heidi, miss her alot, and the rare commitment to our liberal progressive values they displsyed during the darkest days of the Bush years. I adnire hiw Thom relished the opportunity to mix it up with total right wingers. But he has a certain kind of reserve to stay on purpose and let the stupidity roll off like water off a duck's back. Carl has a great big huge heart, and he cares too much, takes it all in and si its part of who he is as a human being I would venture a guess.
",0
252,0,"Our Zoo, which I have been a member of, is a sad collection of badly designed and indifferently maintained habitats.  The new elephant exhibit is a testament to a complete failure of imagination.  While flogging their desire for bond passage we were led to believe that our elephants were to be treated to a vastly improved and humane system of husbandry.  They (and we) have been ill-served by Metro.
",0
255,0,"You need to understand the difference between the ballot measure and paid for comments in the voters pamphlet.  You votedcfor the measure and it didn't have any mention of a reserve.  I love that we have a voters pamphlet that states the measures in plain English. Those who voted without understanding the actual measure have no one to blame but themselves.
",0
256,0.5,"Um. Bernie supporters attack.  Thom Hartmann a liar.  Definitely time to step away from the mike.  Lousy timing, but there you are. Politics is personal. Always has been. Always will be. It's neither for the faint of heart nor the intrinsically correct.  It's an election.  Put on your big boy underpants and stand up.
",1
259,0,"I agree with Commissioner Novick. Many climate advocates including myself are guilty of not stepping up and speaking out about how critical density is.  I live just a block of Division, so I know first hand how much/fast things are changing.  It's odd to me that neighbors who love being able to access lots of open space just minutes from town resent that they can't park in front of their house. There are trade offs.
",0
263,0,"Sad to hear Carl is giving it up.  More the shame that Thom Hartmann has not taken a similar path and relieved the airwaves of his vitriol and misinformation.
",0
266,0,"I was impressed with Nicholas' comment but regret that he sounds defensive. Steve, you are missing the point that government's role is to mitigate the displacement effects of gentrification, granted, caused by population and economic pressures from outside the city, so that we can all benefit from increased density, not become disaffected, rootless citizens of our home town.
",0
267,0,"There is an option that would be a better long term solution. Move the Spanish immersion program (SIP) from its location at Ainsworth to a currently unused facility like east Sylvan. This will open up room for 300 students at Ainsworth.  The overall PPS SIP is a great concept and espouses the goals of diversity, accessibility, and inclusion.  However, the SIP at Ainsworth is the dirty little secret of the Westside. It does not meet any of the above goals. There is no diversity, access is difficult, and it is run like an exclusive private school, funded by taxpayer money. Schools overcrowded? No problem, SIP is capped at 26 students per class. Lack of budget for teachers? Not an issue, SIP has assistant teachers for every class!  How is this even compatible with the PPS equity initiative?  Moving the Ainsworth SIP will help meet its true goals, but there is strong resistance to this because it would inconvenience some privileged families that live in the mansions close to the school.
",0
269,0,"www.businessinsider.com/it-turns-out-that-smoking-marijuana-may-actually-make-you-a-better-driver-2011-12
",0
270,0.2,"Reefer madness lies, are just that lies, lies that have hurt our communities, our states our nations, our world,Those who adhere to this culture are hurting their communities, to the many benefits of cannabis. Mexico's  recent supreme court, said it is a human right to use cannabis recreationally, and this is true, as cannabis realigns our thinking into a truer operating system, an example of this cannabis helping Veterans overcome PTSD. Using cannabis always, always, always has positive health benefits. The world is adopting a new culture based on truth, the old culture, based on lies designed to lead the sheep, will disappear ,as the light of truth shines brighter, The people of Oregon voted in cannabis, so it should be grown, and sold everywhere.
",0
274,0,"Boy, if Carl can't handle Bernie Sanders supporters there's no hope for him against Trump supporters. Better to get while the gettin's good.
",0
275,0.3,"I'm not a conservative, but I am ashamed to be an Oregon taxpayer supporting this nonsense.  Conservatives have it right this time - this is about so-called """"white privilege"""", white guilt, white shaming.  It's divisive and insensitive and takes advantage of a double standard that makes it okay to say """"angry white men"""" but screams racism if you say """"angry black men.""""  No matter what kind of spin PCC tries to put on this one, it's still ugly and offensive.
",0
279,0.166666667,"Mr. Novick: your policies of taller, more expensive apartments, coupled with the council's unwillingness to deal with the scourge of AirBnBs, has contributed to income inequality.   Your transit policy- 19th century technology like streetcars- is leading to 18th century results.   I find it interesting how nicely your particular approach to climate change lines up with the interests of builders, aka the big money in this town.   Portland is a very unhappy place right now, and I am so happy to be moving just outside city limits.   Of course I am commuting in via car, because Portland is actually an awful place to ride these days.  Your attempts to push us into apartments and busses is easy to sabotage, which is why Canby is turning into a bedroom suburb for Portland.  You are a city council member, not someone charged with telling us how to live and move.
",0
284,0,"Star Wars has a wow factor that Star Trek doesn't match even though I'm a larger Trek fan
",0
302,0,"Author of article here. I appreciate this fact-check, but 1977 can't be right, because John Williams was born in 1977: https://en.wikipedia.org/wiki/John_B  How could he have composed the music if he wasn't born yet? At age 5 or 6 though, it would definitely be possible (look at Mozart, for example).
",0
304,0,"But didn't you see matthew's wikipedia link for Jon William's birthday? Since it's wikipedia and he posted his link first, it must be right.
",0
307,0,"Honestly, I really enjoyed the recent Trek films, they're more accomodating to a newcomer imo. That said Star Wars wins hands down in terms of subject matter. Tricky!
",0
310,0,"The science of Star Trek always felt more """"real"""" than the cowboyism of Star Wars.
",0
